Year,publications_count,review_publications_count,Term,general_publication,norm_publications_count,norm_review_publications_count
1924,2,0,display,4992,40.0641,0
1924,4,0,epinephrine,4992,80.12821,0
1924,21,0,eugenics,4992,420.67308,0
1924,1,0,glutamate,4992,20.03205,0
1924,1,0,homeopathy,4992,20.03205,0
1924,5,0,inflammatory,4992,100.16026,0
1924,3,0,influenza,4992,60.09615,0
1924,1,0,lateral ventricles,4992,20.03205,0
1924,25,0,mouse,4992,500.80128,0
1924,6,0,natural medicine,4992,120.19231,0
1924,1,0,paleocortex,4992,20.03205,0
1924,2,0,parkinson,4992,40.0641,0
1924,1,0,pituitary gland,4992,20.03205,0
1924,5,0,race,4992,100.16026,0
1924,1,0,savant,4992,20.03205,0
1924,18,0,vaccine,4992,360.57692,0
1924,18,0,viruses,4992,360.57692,0
1924,1,0,vitamin C,4992,20.03205,0
1925,5,0,Active structure,5093,98.17396,0
1925,1,0,Artificial brain,5093,19.63479,0
1925,1,0,Artificial uterus,5093,19.63479,0
1925,28,0,Electrothermal-chemical technology,5093,549.7742,0
1925,7,0,Epidemiology,5093,137.44355,0
1925,2,0,Hibernation,5093,39.26959,0
1925,1,0,Histamine,5093,19.63479,0
1925,2,0,Ion-propelled aircraft,5093,39.26959,0
1925,1,0,Medulla oblongata,5093,19.63479,0
1925,1,0,Synthetic media,5093,19.63479,0
1925,1,0,Time crystal,5093,19.63479,0
1925,28,0,aquaphonic agriculture,5093,549.7742,0
1925,54,0,cancer,5093,1060.27881,0
1925,4,0,cholesterol,5093,78.53917,0
1925,3,0,cocaine,5093,58.90438,0
1925,4,0,coral,5093,78.53917,0
1925,1,0,display,5093,19.63479,0
1925,4,0,epinephrine,5093,78.53917,0
1925,22,0,eugenics,5093,431.96544,0
1925,1,0,genetic engineering,5093,19.63479,0
1925,1,0,glycine,5093,19.63479,0
1925,4,0,inflammatory,5093,78.53917,0
1925,3,0,influenza,5093,58.90438,0
1925,1,0,lateral ventricles,5093,19.63479,0
1925,1,0,microglia,5093,19.63479,0
1925,19,0,mouse,5093,373.06106,0
1925,1,0,natural medicine,5093,19.63479,0
1925,1,0,paleocortex,5093,19.63479,0
1925,1,0,parkinson,5093,19.63479,0
1925,2,0,pineal gland,5093,39.26959,0
1925,6,0,race,5093,117.80876,0
1925,7,0,single cell,5093,137.44355,0
1925,7,0,sleep,5093,137.44355,0
1925,23,0,vaccine,5093,451.60024,0
1925,19,0,viruses,5093,373.06106,0
1925,1,0,vitamin D,5093,19.63479,0
1926,4,0,Active structure,5427,73.70555,0
1926,1,0,Body implant,5427,18.42639,0
1926,1,0,Cultured meat,5427,18.42639,0
1926,32,0,Electrothermal-chemical technology,5427,589.64437,0
